Clean,shortened_instance_id,"instance_id 
",LOC_Delta,Raw_LOC_Count,File_Count,Repo,Latest Run Date,Current Run #,Status,"OVERALL
UNIT TESTS","LATEST
PASS_TO_PASS","LATEST
FAIL_TO_PASS",Project_Guide_URL,Comments,name,,Projected onboarding date
,1-ansible,instance_ansible__ansible-189fcb37f973f0b1d52b555728208eeb9a6fce83-v906c969b551b346ef54a2c0b41e04f632b7b73c2,260902,260902,12288,ansible/ansible,,,,,,,,,,"This red means the base commit did could not be checked out from the git history, and we do not have the task instance branch",Base Branch
,2-ansible,instance_ansible__ansible-5e88cd9972f10b66dd97e1ee684c910c6a2dd25e-v906c969b551b346ef54a2c0b41e04f632b7b73c2,19220,280122,12702,ansible/ansible,,,,,,,,,,,12/19/2025
,3-ansible,instance_ansible__ansible-c1f2df47538b884a43320f53e787197793b105e8-v906c969b551b346ef54a2c0b41e04f632b7b73c2,121202,401324,14313,ansible/ansible,,,,,,,,,,,12/19/2025
,4-ansible,instance_ansible__ansible-eea46a0d1b99a6dadedbb6a3502d599235fa7ec3-v390e508d27db7a51eece36bb6d9698b63a5b638a,35996,437320,14931,ansible/ansible,,,,,,,,,,,12/19/2025
,5-ansible,instance_ansible__ansible-164881d871964aa64e0f911d03ae270acbad253c-v390e508d27db7a51eece36bb6d9698b63a5b638a,421380,15940,15124,ansible/ansible,,,,,,,,,,,12/20/2025
,6-ansible,instance_ansible__ansible-622a493ae03bd5e5cf517d336fc426e9d12208c7-v906c969b551b346ef54a2c0b41e04f632b7b73c2,15581,31521,15312,ansible/ansible,,,,,,,,,,,12/21/2025
,7-ansible,instance_ansible__ansible-7e1a347695c7987ae56ef1b6919156d9254010ad-v390e508d27db7a51eece36bb6d9698b63a5b638a,191441,222962,16447,ansible/ansible,,,,,,,,,,,12/21/2025
,8-ansible,instance_ansible__ansible-b6290e1d156af608bd79118d209a64a051c55001-v390e508d27db7a51eece36bb6d9698b63a5b638a,23949,246911,16637,ansible/ansible,,,,,,,,,,,12/21/2025
,9-ansible,instance_ansible__ansible-489156378c8e97374a75a544c7c9c2c0dd8146d1-v390e508d27db7a51eece36bb6d9698b63a5b638a,34959,281870,16781,ansible/ansible,,,,,,,,,,,12/21/2025
,10-ansible,instance_ansible__ansible-f02a62db509dc7463fab642c9c3458b9bc3476cc-v390e508d27db7a51eece36bb6d9698b63a5b638a,44371,326241,17015,ansible/ansible,,,,,,,,,,,12/22/2025
,11-ansible,instance_ansible__ansible-d72025be751c894673ba85caa063d835a0ad3a8c-v390e508d27db7a51eece36bb6d9698b63a5b638a,123768,450009,18161,ansible/ansible,,,,,,,,,,,12/22/2025
,12-ansible,instance_ansible__ansible-77658704217d5f166404fc67997203c25381cb6e-v390e508d27db7a51eece36bb6d9698b63a5b638a,181918,631927,19421,ansible/ansible,,,,,,,,,,,12/22/2025
,13-ansible,instance_ansible__ansible-a20a52701402a12f91396549df04ac55809f68e9-v1055803c3a812189a1133297f7f5468579283f86,130023,501904,4597,ansible/ansible,,,,,,,,,,,12/22/2025
,14-ansible,instance_ansible__ansible-34db57a47f875d11c4068567b9ec7ace174ec4cf-v1055803c3a812189a1133297f7f5468579283f86,5516,507420,4771,ansible/ansible,,,,,,,,,,,12/22/2025
,15-ansible,instance_ansible__ansible-ecea15c508f0e081525be036cf76bbb56dbcdd9d-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,690,506730,4781,ansible/ansible,,,,,,,,,,,12/22/2025
,16-ansible,instance_ansible__ansible-b748edea457a4576847a10275678127895d2f02f-v1055803c3a812189a1133297f7f5468579283f86,867,507597,4789,ansible/ansible,,,,,,,,,,,12/22/2025
,17-ansible,instance_ansible__ansible-1ee70fc272aff6bf3415357c6e13c5de5b928d9b-v1055803c3a812189a1133297f7f5468579283f86,483,508080,4798,ansible/ansible,,,,,,,,,,,12/22/2025
,18-ansible,instance_ansible__ansible-ea04e0048dbb3b63f876aad7020e1de8eee9f362-v1055803c3a812189a1133297f7f5468579283f86,2297,510377,4847,ansible/ansible,,,,,,,,,,,12/22/2025
,19-ansible,instance_ansible__ansible-e40889e7112ae00a21a2c74312b330e67a766cc0-v1055803c3a812189a1133297f7f5468579283f86,1284,511661,4934,ansible/ansible,,,,,,,,,,,12/22/2025
,20-ansible,instance_ansible__ansible-984216f52e76b904e5b0fa0fb956ab4f1e0a7751-v1055803c3a812189a1133297f7f5468579283f86,135,511526,4942,ansible/ansible,,,,,,,,,,,12/22/2025
,21-ansible,instance_ansible__ansible-d30fc6c0b359f631130b0e979d9a78a7b3747d48-v1055803c3a812189a1133297f7f5468579283f86,118,511644,4989,ansible/ansible,,,,,,,,,,,12/22/2025
,22-ansible,instance_ansible__ansible-e22e103cdf8edc56ff7d9b848a58f94f1471a263-v1055803c3a812189a1133297f7f5468579283f86,3311,514955,4685,ansible/ansible,,,,,,,,,,,12/22/2025
,23-ansible,instance_ansible__ansible-c616e54a6e23fa5616a1d56d243f69576164ef9b-v1055803c3a812189a1133297f7f5468579283f86,261,515216,4696,ansible/ansible,,,,,,,,,,,12/22/2025
,24-ansible,instance_ansible__ansible-bf98f031f3f5af31a2d78dc2f0a58fe92ebae0bb-v1055803c3a812189a1133297f7f5468579283f86,506,515722,4726,ansible/ansible,,,,,,,,,,,12/22/2025
,25-ansible,instance_ansible__ansible-5260527c4a71bfed99d803e687dd19619423b134-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,193,515915,4728,ansible/ansible,,,,,,,,,,,12/22/2025
,26-ansible,instance_ansible__ansible-fb144c44144f8bd3542e71f5db62b6d322c7bd85-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,2480,518395,4818,ansible/ansible,,,,,,,,,,,12/22/2025
,27-ansible,instance_ansible__ansible-709484969c8a4ffd74b839a673431a8c5caa6457-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,23350,495045,4719,ansible/ansible,,,,,,,,,,,12/22/2025
